reporting_level,province/territory,region,indicator,metric,data_year,unit_of_measurement,indicator_result,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26,unnamed:_27
Provincial,Alberta,,Bladder Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Bladder Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Bladder Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Breast Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Breast Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Breast Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,CABG,% Meeting Benchmark,2008.0,Proportion,99.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,CABG,50th Percentile,2008.0,Days,7.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,CABG,90th Percentile,2008.0,Days,83.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,CABG,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Cataract surgery,% Meeting Benchmark,2008.0,Proportion,71.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Cataract surgery,50th Percentile,2008.0,Days,70.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Cataract surgery,90th Percentile,2008.0,Days,199.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Cataract surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Colorectal Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Colorectal Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Colorectal Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,CT Scan,50th Percentile,2008.0,Days,10.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,CT Scan,90th Percentile,2008.0,Days,39.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,CT Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008.0,Proportion,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008.0,Hours,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Replacement,% Meeting Benchmark,2008.0,Proportion,77.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Replacement,50th Percentile,2008.0,Days,103.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Replacement,90th Percentile,2008.0,Days,255.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Hip Replacement,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Knee Replacement,% Meeting Benchmark,2008.0,Proportion,72.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Knee Replacement,50th Percentile,2008.0,Days,123.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Knee Replacement,90th Percentile,2008.0,Days,299.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Knee Replacement,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Lung Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Lung Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Lung Cancer Surgery,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,MRI Scan,50th Percentile,2008.0,Days,41.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,MRI Scan,90th Percentile,2008.0,Days,136.0,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,MRI Scan,Volume,2008.0,Number of cases,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Prostate Cancer Surgery,50th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
Provincial,Alberta,,Prostate Cancer Surgery,90th Percentile,2008.0,Days,,,,,,,,,,,,,,,,,,,,,
